ESG REPORT ANALYSIS: apple
============================================================

# ESG Analysis: apple

## Pages 1-50

# Analysis of Apple's 2025 Environmental Progress Report (Pages 1-50)

---

## 1. QUANTIFIABLE DATA

### Greenhouse Gas Emissions

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Overall GHG emissions reduction | >60% reduction | 2024 vs. 2015 baseline | Gross scope 1, 2, and 3 emissions, not including offsets |
| Revenue growth (same period) | >65% growth | 2015-2024 | Revenue grew while emissions decreased |
| Avoided emissions (annual) | 41 million metric tons CO2e | 2024 | Through reduction efforts across all scopes |
| Gross emissions (2015) | 38.4 million metric tons CO2e | FY2015 | Baseline year |
| Gross emissions (2019) | 25.1 million metric tons CO2e | FY2019 | Midpoint progress |
| Gross emissions (2024) | 15.3 million metric tons CO2e | FY2024 | Current year |
| Carbon offsets/removal (2024) | 0.7 million metric tons CO2e | FY2024 | Offsets applied |
| Net emissions (2024) | 14.5 million metric tons CO2e | FY2024 | Gross minus offsets |
| Emissions reduction target | 75% reduction by 2030 | 2030 target | From 2015 baseline |
| Current emissions reduction progress | 60% | 2024 | Against 75% target |
| Long-term reduction goal | 90% reduction by 2050 | 2050 target | From 2015 baseline |
| Avoided emissions — Supplier clean energy | 21.8 million metric tons CO2e | 2024 | From supplier renewable electricity transition |
| Avoided emissions — F-GHG abatement | 8.4 million metric tons CO2e (annualized) | 2024 | Display and semiconductor supplier abatement |
| Avoided emissions — Low-carbon materials | 6.2 million metric tons CO2e | 2024 | Recycled materials and low-carbon aluminum |
| Avoided emissions — Supplier energy efficiency | 2.0 million metric tons CO2e | 2024 | ~13% increase over 2023 |
| Avoided emissions — Corporate renewable electricity (Scope 2) | 1.2 million metric tons CO2e | 2024 | Corporate facilities |
| Avoided emissions — Business operations renewable electricity | 1.0 million metric tons CO2e | 2024 | Business operations scope 3 |
| Avoided emissions — Product use clean energy | 0.3 million metric tons CO2e | 2024 | Clean energy for product use |
| Avoided emissions — Corporate energy efficiency | 0.1 million metric tons CO2e | 2024 | Corporate facility efficiency |
| Mac mini carbon footprint reduction | >80% | 2024 | Compared to business-as-usual scenario |
| Aluminum-related emissions reduction | 76% | Since 2015 | From transitioning to recycled aluminum |
| Aluminum share of manufacturing footprint (2024) | <7% | 2024 | Down from 27% in 2015 |
| Product manufacturing share of gross footprint | 54% | 2024 | Largest emissions category |
| Product use share of gross footprint | 29% | 2024 | Customer device charging/use |

### Energy

| Metric | Value + Unit | Year/Period | Context |
|--------|-------------|-------------|---------|
| Supplier clean energy capacity | 17.8 gigawatts | 2024 | Renewable energy procured by suppliers online in Apple's supply chain |
| Clean energy generated by suppliers | 31.3 million megawatt-hours | 2024 | From 17.8 GW of renewable energy |
| Increase in supplier clean energy avoided emissions | 17.4% increase | 2024 vs. 2023 | Year-over-year improvement |
| Corporate renewable electricity sourcing | 100% | Since 2018 | All Apple offices, retail stores, data centers |
| Apple-created renewable energy capacity | ~1.8 gigawatts | 2024 | For corporate facilities |
| Apple-created projects share of corporate load | ~89% | 2024 | Long-term contracts, direct ownership, equity investment |
| Long-term renewable energy contracts | ~89% of Apple-created | 2024 | PPAs, VPPAs, other long-term commitments |
